x-axis,1
second,Volt
+9.9240000E-03,
+9.9242500E-03,+726.2970770E-03
+9.9245000E-03,+718.7594369E-03
+9.9247500E-03,+720.9704073E-03
+9.9250000E-03,+716.3473245E-03
+9.9252500E-03,+719.2618337E-03
+9.9255000E-03,+719.6638283E-03
+9.9257500E-03,+721.2717585E-03
+9.9260000E-03,+724.0863479E-03
+9.9262500E-03,+716.8499625E-03
+9.9265000E-03,+726.4982191E-03
+9.9267500E-03,+727.0002782E-03
+9.9270000E-03,+732.9310976E-03
+9.9272500E-03,+722.1759087E-03
+9.9275000E-03,+729.4112327E-03
+9.9277500E-03,+717.5537908E-03
+9.9280000E-03,+721.9761656E-03
+9.9282500E-03,+721.3724501E-03
+9.9285000E-03,+716.3473245E-03
+9.9287500E-03,+721.3710511E-03
+9.9290000E-03,+724.3890016E-03
+9.9292500E-03,+727.5024820E-03
+9.9295000E-03,+728.6083048E-03
+9.9297500E-03,+709.0099581E-03
+9.9300000E-03,+723.8850129E-03
+9.9302500E-03,+720.6681877E-03
+9.9305000E-03,+723.8850129E-03
+9.9307500E-03,+722.3754587E-03
+9.9310000E-03,+728.1052809E-03
+9.9312500E-03,+718.8598873E-03
+9.9315000E-03,+719.6630082E-03
+9.9317500E-03,+723.0814579E-03
+9.9320000E-03,+717.5528742E-03
+9.9322500E-03,+727.3025942E-03
+9.9325000E-03,+724.3880368E-03
+9.9327500E-03,+723.4808957E-03
+9.9330000E-03,+721.3724501E-03
+9.9332500E-03,+714.8369985E-03
+9.9335000E-03,+724.6873137E-03
+9.9337500E-03,+719.8625583E-03
+9.9340000E-03,+731.5207878E-03
+9.9342500E-03,+719.2631362E-03
+9.9345000E-03,+720.9717098E-03
+9.9347500E-03,+722.0779186E-03
+9.9350000E-03,+727.4019351E-03
+9.9352500E-03,+720.5663865E-03
+9.9355000E-03,+726.7974959E-03
+9.9357500E-03,+720.7680110E-03
+9.9360000E-03,+724.0845630E-03
+9.9362500E-03,+731.9244709E-03
+9.9365000E-03,+721.5711801E-03
+9.9367500E-03,+722.8761188E-03
+9.9370000E-03,+726.3975757E-03
+9.9372500E-03,+716.7501392E-03
+9.9375000E-03,+721.3732702E-03
+9.9377500E-03,+731.9293915E-03
+9.9380000E-03,+723.0818438E-03
+9.9382500E-03,+712.6295980E-03
+9.9385000E-03,+720.0597445E-03
+9.9387500E-03,+721.8758600E-03
+9.9390000E-03,+718.6570569E-03
+9.9392500E-03,+725.1952582E-03
+9.9395000E-03,+727.9098314E-03
+9.9397500E-03,+722.1735931E-03
+9.9400000E-03,+723.3844493E-03
+9.9402500E-03,+722.5804601E-03
+9.9405000E-03,+721.9784812E-03
+9.9407500E-03,+714.0347460E-03
+9.9410000E-03,+727.7061808E-03
+9.9412500E-03,+725.3936022E-03
+9.9415000E-03,+724.1843862E-03
+9.9417500E-03,+716.0414869E-03
+9.9420000E-03,+725.4897592E-03
+9.9422500E-03,+723.5868456E-03
+9.9425000E-03,+726.9046036E-03
+9.9427500E-03,+726.2000035E-03
+9.9430000E-03,+718.9580704E-03
+9.9432500E-03,+720.4702778E-03
+9.9435000E-03,+717.5569265E-03
+9.9437500E-03,+721.3748622E-03
+9.9440000E-03,+721.7732387E-03
+9.9442500E-03,+722.1752333E-03
+9.9445000E-03,+724.0910273E-03
+9.9447500E-03,+724.0898213E-03
+9.9450000E-03,+726.9013715E-03
+9.9452500E-03,+723.7832117E-03
+9.9455000E-03,+728.9101385E-03
+9.9457500E-03,+718.8598873E-03
+9.9460000E-03,+718.5556899E-03
+9.9462500E-03,+725.8909819E-03
+9.9465000E-03,+733.4258723E-03
+9.9467500E-03,+723.4802203E-03
+9.9470000E-03,+731.0235046E-03
+9.9472500E-03,+725.0881987E-03
+9.9475000E-03,+720.8742503E-03
+9.9477500E-03,+725.2905950E-03
+9.9480000E-03,+719.8722548E-03
+9.9482500E-03,+721.3724501E-03
+9.9485000E-03,+723.5880034E-03
+9.9487500E-03,+724.3935846E-03
+9.9490000E-03,+718.8598873E-03
+9.9492500E-03,+730.0203031E-03
+9.9495000E-03,+720.5668689E-03
+9.9497500E-03,+721.6849933E-03
+9.9500000E-03,+726.3991677E-03
+9.9502500E-03,+722.5736580E-03
+9.9505000E-03,+716.9389797E-03
+9.9507500E-03,+719.1712245E-03
+9.9510000E-03,+720.6722400E-03
+9.9512500E-03,+717.8598697E-03
+9.9515000E-03,+726.1932015E-03
+9.9517500E-03,+724.1848204E-03
+9.9520000E-03,+724.9939714E-03
+9.9522500E-03,+722.4762468E-03
+9.9525000E-03,+721.3724501E-03
+9.9527500E-03,+729.5149153E-03
+9.9530000E-03,+721.3724501E-03
+9.9532500E-03,+731.0242765E-03
+9.9535000E-03,+728.9101385E-03
+9.9537500E-03,+717.8566857E-03
+9.9540000E-03,+717.1568615E-03
+9.9542500E-03,+715.9508777E-03
+9.9545000E-03,+724.1883903E-03
+9.9547500E-03,+728.8115212E-03
+9.9550000E-03,+722.8742857E-03
+9.9552500E-03,+724.5923628E-03
+9.9555000E-03,+727.7021768E-03
+9.9557500E-03,+723.8850129E-03
+9.9560000E-03,+724.6929579E-03
+9.9562500E-03,+718.8579094E-03
+9.9565000E-03,+718.0598539E-03
+9.9567500E-03,+722.0679326E-03
+9.9570000E-03,+724.8799170E-03
+9.9572500E-03,+719.5593256E-03
+9.9575000E-03,+720.3735902E-03
+9.9577500E-03,+718.9624604E-03
+9.9580000E-03,+716.9461677E-03
+9.9582500E-03,+718.0432589E-03
+9.9585000E-03,+726.7033169E-03
+9.9587500E-03,+725.8993277E-03
+9.9590000E-03,+720.1621246E-03
+9.9592500E-03,+728.3006340E-03
+9.9595000E-03,+719.0587138E-03
+9.9597500E-03,+722.5740922E-03
+9.9600000E-03,+726.3975757E-03
+9.9602500E-03,+722.7772604E-03
+9.9605000E-03,+719.5656452E-03
+9.9607500E-03,+723.2774863E-03
+9.9610000E-03,+719.1545813E-03
+9.9612500E-03,+720.3605651E-03
+9.9615000E-03,+717.2495451E-03
+9.9617500E-03,+726.3017082E-03
+9.9620000E-03,+718.8598873E-03
+9.9622500E-03,+715.4521955E-03
+9.9625000E-03,+713.8371256E-03
+9.9627500E-03,+733.2507806E-03
+9.9630000E-03,+722.2817621E-03
+9.9632500E-03,+725.0886329E-03
+9.9635000E-03,+722.2793983E-03
+9.9637500E-03,+724.4021715E-03
+9.9640000E-03,+723.7820539E-03
+9.9642500E-03,+722.9879060E-03
