x-axis,1,2
second,Volt,Volt
-28.0000E-06,-2.9308856877E+00,-963.1968895E-03
-27.8750E-06,-2.8987221047E+00,-970.0315543E-03
-27.7500E-06,-2.8831408190E+00,-988.9246680E-03
-27.6250E-06,-2.9248564632E+00,-986.9102953E-03
-27.5000E-06,-2.8856626442E+00,-971.6455224E-03
-27.3750E-06,-2.9142956719E+00,-972.0428395E-03
-27.2500E-06,-2.9394290188E+00,-965.8041504E-03
-27.1250E-06,-2.9213413452E+00,-960.7821123E-03
-27.0000E-06,-2.9032459528E+00,-990.5293737E-03
-26.8750E-06,-2.9158087670E+00,-982.6921538E-03
-26.7500E-06,-2.8590316394E+00,-997.1561176E-03
-26.6250E-06,-2.9022372227E+00,-959.7919070E-03
-26.5000E-06,-2.8916841501E+00,-981.2891941E-03
-26.3750E-06,-2.9188195200E+00,-981.4816777E-03
-26.2500E-06,-2.8982254583E+00,-981.6803363E-03
-26.1250E-06,-2.8962157168E+00,-993.7696598E-03
-26.0000E-06,-2.9394058629E+00,-1.0062038136E+00
-25.8750E-06,-2.9188349572E+00,-982.4780580E-03
-25.7500E-06,-2.9143188278E+00,-1.0060205923E+00
-25.6250E-06,-2.9082587287E+00,-968.6316821E-03
-25.5000E-06,-2.9022603787E+00,-997.5534347E-03
-25.3750E-06,-2.8711055258E+00,-985.3457265E-03
-25.2500E-06,-2.9027647437E+00,-978.2753537E-03
-25.1250E-06,-2.8781203245E+00,-998.3789435E-03
-25.0000E-06,-2.8781434804E+00,-981.6926861E-03
-24.8750E-06,-2.8695615561E+00,-967.4150311E-03
-24.7500E-06,-2.8952224240E+00,-949.3011143E-03
-24.6250E-06,-2.9042855575E+00,-966.6142219E-03
-24.5000E-06,-2.8816200052E+00,-972.6264654E-03
-24.3750E-06,-2.9057677780E+00,-964.6152866E-03
-24.2500E-06,-2.9032459528E+00,-963.0229306E-03
-24.1250E-06,-2.9253762655E+00,-980.4914724E-03
-24.0000E-06,-2.9213567824E+00,-968.6038949E-03
-23.8750E-06,-2.9338887220E+00,-982.3010116E-03
-23.7500E-06,-2.9283715812E+00,-955.5675906E-03
-23.6250E-06,-2.8902250855E+00,-986.7147242E-03
-23.5000E-06,-2.8821861194E+00,-977.4776320E-03
-23.3750E-06,-2.9062258312E+00,-975.4725218E-03
-23.2500E-06,-2.9696137349E+00,-959.1866690E-03
-23.1250E-06,-2.8932204011E+00,-973.6197582E-03
-23.0000E-06,-2.8906831387E+00,-963.8052150E-03
-22.8750E-06,-2.9087476564E+00,-973.0515696E-03
