Freq.	V(n003)/V(n001)
1.00000000000000e+03	(3.38683031509611e-03dB,-1.80074097728213e-01°)
1.00461579027840e+03	(3.41817427998369e-03dB,-1.80905937573072e-01°)
1.00925288607668e+03	(3.44980837876523e-03dB,-1.81741626141070e-01°)
1.01391138573668e+03	(3.48173529809754e-03dB,-1.82581181323809e-01°)
1.01859138805412e+03	(3.51395774953249e-03dB,-1.83424621098106e-01°)
1.02329299228075e+03	(3.54647846974707e-03dB,-1.84271963524569e-01°)
1.02801629812647e+03	(3.57930022079249e-03dB,-1.85123226749657e-01°)
1.03276140576140e+03	(3.61242579031070e-03dB,-1.85978429005364e-01°)
1.03752841581801e+03	(3.64585799176613e-03dB,-1.86837588609300e-01°)
1.04231742939330e+03	(3.67959966472379e-03dB,-1.87700723966120e-01°)
1.04712854805090e+03	(3.71365367504824e-03dB,-1.88567853566490e-01°)
1.05196187382322e+03	(3.74802291517003e-03dB,-1.89438995989631e-01°)
1.05681750921366e+03	(3.78271030432892e-03dB,-1.90314169901254e-01°)
1.06169555719873e+03	(3.81771878882105e-03dB,-1.91193394056099e-01°)
1.06659612123026e+03	(3.85305134225171e-03dB,-1.92076687297145e-01°)
1.07151930523761e+03	(3.88871096578434e-03dB,-1.92964068556003e-01°)
1.07646521362984e+03	(3.92470068840294e-03dB,-1.93855556854667e-01°)
1.08143395129794e+03	(3.96102356716479e-03dB,-1.94751171304480e-01°)
1.08642562361707e+03	(3.99768268747828e-03dB,-1.95650931107087e-01°)
1.09144033644876e+03	(4.03468116332472e-03dB,-1.96554855555390e-01°)
1.09647819614319e+03	(4.07202213757264e-03dB,-1.97462964032829e-01°)
1.10153930954142e+03	(4.10970878221505e-03dB,-1.98375276015453e-01°)
1.10662378397767e+03	(4.14774429865666e-03dB,-1.99291811070725e-01°)
1.11173172728159e+03	(4.18613191796452e-03dB,-2.00212588859190e-01°)
1.11686324778056e+03	(4.22487490117448e-03dB,-2.01137629134240e-01°)
1.12201845430197e+03	(4.26397653954176e-03dB,-2.02066951742745e-01°)
1.12719745617551e+03	(4.30344015484153e-03dB,-2.03000576625850e-01°)
1.13240036323556e+03	(4.34326909963869e-03dB,-2.03938523819214e-01°)
1.13762728582343e+03	(4.38346675757680e-03dB,-2.04880813452850e-01°)
1.14287833478977e+03	(4.42403654367669e-03dB,-2.05827465753031e-01°)
1.14815362149688e+03	(4.46498190462148e-03dB,-2.06778501041338e-01°)
1.15345325782109e+03	(4.50630631903387e-03dB,-2.07733939735931e-01°)
1.15877735615513e+03	(4.54801329780929e-03dB,-2.08693802351705e-01°)
1.16412602941049e+03	(4.59010638437958e-03dB,-2.09658109501169e-01°)
1.16949939101987e+03	(4.63258915504221e-03dB,-2.10626881894363e-01°)
1.17489755493953e+03	(4.67546521924320e-03dB,-2.11600140339731e-01°)
1.18032063565173e+03	(4.71873821990810e-03dB,-2.12577905744443e-01°)
1.18576874816716e+03	(4.76241183373059e-03dB,-2.13560199115344e-01°)
1.19124200802738e+03	(4.80648977149768e-03dB,-2.14547041558637e-01°)
1.19674053130725e+03	(4.85097577841475e-03dB,-2.15538454280839e-01°)
1.20226443461742e+03	(4.89587363440562e-03dB,-2.16534458589652e-01°)
1.20781383510678e+03	(4.94118715445484e-03dB,-2.17535075893804e-01°)
1.21338885046498e+03	(4.98692018891730e-03dB,-2.18540327703688e-01°)
1.21898959892487e+03	(5.03307662385847e-03dB,-2.19550235632547e-01°)
1.22461619926505e+03	(5.07966038137934e-03dB,-2.20564821395846e-01°)
1.23026877081238e+03	(5.12667541995657e-03dB,-2.21584106812777e-01°)
1.23594743344451e+03	(5.17412573477305e-03dB,-2.22608113806337e-01°)
1.24165230759241e+03	(5.22201535807148e-03dB,-2.23636864403889e-01°)
1.24738351424295e+03	(5.27034835948671e-03dB,-2.24670380737872e-01°)
1.25314117494142e+03	(5.31912884639730e-03dB,-2.25708685045962e-01°)
1.25892541179417e+03	(5.36836096428087e-03dB,-2.26751799671946e-01°)
1.26473634747116e+03	(5.41804889705781e-03dB,-2.27799747066199e-01°)
1.27057410520855e+03	(5.46819686746772e-03dB,-2.28852549785919e-01°)
1.27643880881135e+03	(5.51880913740913e-03dB,-2.29910230496363e-01°)
1.28233058265603e+03	(5.56989000831199e-03dB,-2.30972811970525e-01°)
1.28824955169314e+03	(5.62144382150422e-03dB,-2.32040317090172e-01°)
1.29419584144999e+03	(5.67347495859947e-03dB,-2.33112768846594e-01°)
1.30016957803330e+03	(5.72598784184043e-03dB,-2.34190190340610e-01°)
1.30617088813185e+03	(5.77898693449416e-03dB,-2.35272604783437e-01°)
1.31219989901921e+03	(5.83247674124152e-03dB,-2.36360035497406e-01°)
1.31825673855641e+03	(5.88646180854536e-03dB,-2.37452505916279e-01°)
1.32434153519467e+03	(5.94094672505523e-03dB,-2.38550039585650e-01°)
1.33045441797810e+03	(5.99593612198120e-03dB,-2.39652660164051e-01°)
1.33659551654645e+03	(6.05143467350616e-03dB,-2.40760391423115e-01°)
1.34276496113787e+03	(6.10744709718064e-03dB,-2.41873257248170e-01°)
1.34896288259166e+03	(6.16397815432339e-03dB,-2.42991281639233e-01°)
1.35518941235104e+03	(6.22103265043152e-03dB,-2.44114488710848e-01°)
1.36144468246596e+03	(6.27861543558087e-03dB,-2.45242902693322e-01°)
1.36772882559585e+03	(6.33673140487067e-03dB,-2.46376547933157e-01°)
1.37404197501252e+03	(6.39538549880253e-03dB,-2.47515448893528e-01°)
1.38038426460289e+03	(6.45458270373656e-03dB,-2.48659630155040e-01°)
1.38675582887189e+03	(6.51432805228940e-03dB,-2.49809116415883e-01°)
1.39315680294531e+03	(6.57462662379401e-03dB,-2.50963932493263e-01°)
1.39958732257262e+03	(6.63548354471108e-03dB,-2.52124103323323e-01°)
1.40604752412992e+03	(6.69690398908273e-03dB,-2.53289653961858e-01°)
1.41253754462276e+03	(6.75889317896311e-03dB,-2.54460609585305e-01°)
1.41905752168910e+03	(6.82145638486806e-03dB,-2.55636995490946e-01°)
1.42560759360220e+03	(6.88459892624588e-03dB,-2.56818837097658e-01°)
1.43218789927355e+03	(6.94832617189990e-03dB,-2.58006159946908e-01°)
1.43879857825585e+03	(7.01264354047253e-03dB,-2.59198989702593e-01°)
1.44543977074593e+03	(7.07755650089455e-03dB,-2.60397352152469e-01°)
1.45211161758775e+03	(7.14307057286903e-03dB,-2.61601273208394e-01°)
1.45881426027536e+03	(7.20919132733189e-03dB,-2.62810778906914e-01°)
1.46554784095592e+03	(7.27592438692985e-03dB,-2.64025895410345e-01°)
1.47231250243273e+03	(7.34327542650585e-03dB,-2.65246649006885e-01°)
1.47910838816822e+03	(7.41125017358059e-03dB,-2.66473066111371e-01°)
1.48593564228701e+03	(7.47985440885314e-03dB,-2.67705173266670e-01°)
1.49279440957900e+03	(7.54909396668802e-03dB,-2.68942997143239e-01°)
1.49968483550238e+03	(7.61897473560983e-03dB,-2.70186564540318e-01°)
1.50660706618675e+03	(7.68950265881894e-03dB,-2.71435902386842e-01°)
1.51356124843622e+03	(7.76068373470325e-03dB,-2.72691037741881e-01°)
1.52054752973250e+03	(7.83252401732854e-03dB,-2.73951997794911e-01°)
1.52756605823808e+03	(7.90502961699627e-03dB,-2.75218809867608e-01°)
1.53461698279930e+03	(7.97820670071628e-03dB,-2.76491501413088e-01°)
1.54170045294957e+03	(8.05206149279708e-03dB,-2.77770100017896e-01°)
1.54881661891249e+03	(8.12660027532412e-03dB,-2.79054633402002e-01°)
1.55596563160508e+03	(8.20182938873621e-03dB,-2.80345129419639e-01°)
1.56314764264096e+03	(8.27775523233829e-03dB,-2.81641616059933e-01°)
1.57036280433356e+03	(8.35438426487557e-03dB,-2.82944121447701e-01°)
1.57761126969936e+03	(8.43172300508070e-03dB,-2.84252673844523e-01°)
1.58489319246112e+03	(8.50977803222841e-03dB,-2.85567301648856e-01°)
1.59220872705118e+03	(8.58855598670152e-03dB,-2.86888033397151e-01°)
1.59955802861468e+03	(8.66806357056272e-03dB,-2.88214897764486e-01°)
1.60694125301289e+03	(8.74830754811828e-03dB,-2.89547923564921e-01°)
1.61435855682650e+03	(8.82929474652610e-03dB,-2.90887139753090e-01°)
1.62181009735894e+03	(8.91103205635149e-03dB,-2.92232575424276e-01°)
1.62929603263973e+03	(8.99352643216898e-03dB,-2.93584259815288e-01°)
1.63681652142782e+03	(9.07678489317944e-03dB,-2.94942222305371e-01°)
1.64437172321494e+03	(9.16081452377116e-03dB,-2.96306492416762e-01°)
1.65196179822903e+03	(9.24562247416928e-03dB,-2.97677099815686e-01°)
1.65958690743757e+03	(9.33121596102160e-03dB,-2.99054074312864e-01°)
1.66724721255107e+03	(9.41760226803802e-03dB,-3.00437445864513e-01°)
1.67494287602645e+03	(9.50478874659519e-03dB,-3.01827244572978e-01°)
1.68267406107048e+03	(9.59278281640069e-03dB,-3.03223500687764e-01°)
1.69044093164328e+03	(9.68159196608565e-03dB,-3.04626244605930e-01°)
1.69824365246176e+03	(9.77122375388400e-03dB,-3.06035506873165e-01°)
1.70608238900314e+03	(9.86168580828058e-03dB,-3.07451318184541e-01°)
1.71395730750844e+03	(9.95298582863209e-03dB,-3.08873709385304e-01°)
1.72186857498602e+03	(1.00451315858804e-02dB,-3.10302711471710e-01°)
1.72981635921511e+03	(1.01381309231729e-02dB,-3.11738355591778e-01°)
1.73780082874939e+03	(1.02319917565661e-02dB,-3.13180673046082e-01°)
1.74582215292052e+03	(1.03267220756932e-02dB,-3.14629695288748e-01°)
1.75388050184177e+03	(1.04223299444657e-02dB,-3.16085453928201e-01°)
1.76197604641164e+03	(1.05188235017500e-02dB,-3.17547980728045e-01°)
1.77010895831743e+03	(1.06162109620665e-02dB,-3.19017307607572e-01°)
1.77827941003894e+03	(1.07145006163202e-02dB,-3.20493466643157e-01°)
1.78648757485206e+03	(1.08137008324850e-02dB,-3.21976490068929e-01°)
1.79473362683254e+03	(1.09138200563420e-02dB,-3.23466410277247e-01°)
1.80301774085958e+03	(1.10148668122018e-02dB,-3.24963259820049e-01°)
1.81134009261962e+03	(1.11168497036406e-02dB,-3.26467071409768e-01°)
1.81970085861000e+03	(1.12197774142271e-02dB,-3.27977877919525e-01°)
1.82810021614276e+03	(1.13236587082892e-02dB,-3.29495712384960e-01°)
1.83653834334836e+03	(1.14285024316622e-02dB,-3.31020608004464e-01°)
1.84501541917949e+03	(1.15343175124344e-02dB,-3.32552598140096e-01°)
1.85353162341483e+03	(1.16411129617536e-02dB,-3.34091716319047e-01°)
1.86208713666288e+03	(1.17488978745621e-02dB,-3.35637996233805e-01°)
1.87068214036582e+03	(1.18576814304005e-02dB,-3.37191471743734e-01°)
1.87931681680328e+03	(1.19674728942023e-02dB,-3.38752176875515e-01°)
1.88799134909631e+03	(1.20782816170869e-02dB,-3.40320145824259e-01°)
1.89670592121116e+03	(1.21901170371598e-02dB,-3.41895412954570e-01°)
1.90546071796326e+03	(1.23029886803376e-02dB,-3.43478012801230e-01°)
1.91425592502110e+03	(1.24169061611551e-02dB,-3.45067980070378e-01°)
1.92309172891018e+03	(1.25318791836091e-02dB,-3.46665349640274e-01°)
1.93196831701694e+03	(1.26479175419897e-02dB,-3.48270156562522e-01°)
1.94088587759280e+03	(1.27650311217217e-02dB,-3.49882436062704e-01°)
1.94984459975806e+03	(1.28832299002220e-02dB,-3.51502223541737e-01°)
1.95884467350601e+03	(1.30025239477558e-02dB,-3.53129554576418e-01°)
1.96788628970686e+03	(1.31229234283107e-02dB,-3.54764464920817e-01°)
1.97696964011188e+03	(1.32444386004711e-02dB,-3.56406990507072e-01°)
1.98609491735739e+03	(1.33670798183091e-02dB,-3.58057167446339e-01°)
1.99526231496890e+03	(1.34908575322641e-02dB,-3.59715032030139e-01°)
2.00447202736518e+03	(1.36157822900558e-02dB,-3.61380620730797e-01°)
2.01372424986241e+03	(1.37418647376169e-02dB,-3.63053970203225e-01°)
2.02301917867829e+03	(1.38691156199555e-02dB,-3.64735117285001e-01°)
2.03235701093624e+03	(1.39975457821347e-02dB,-3.66424098998515e-01°)
2.04173794466955e+03	(1.41271661702021e-02dB,-3.68120952551201e-01°)
2.05116217882559e+03	(1.42579878321141e-02dB,-3.69825715336768e-01°)
2.06062991327002e+03	(1.43900219187073e-02dB,-3.71538424936431e-01°)
2.07014134879106e+03	(1.45232796846603e-02dB,-3.73259119119944e-01°)
2.07969668710372e+03	(1.46577724894620e-02dB,-3.74987835846586e-01°)
2.08929613085406e+03	(1.47935117983943e-02dB,-3.76724613266275e-01°)
2.09893988362355e+03	(1.49305091835431e-02dB,-3.78469489720796e-01°)
2.10862814993331e+03	(1.50687763247689e-02dB,-3.80222503744835e-01°)
2.11836113524852e+03	(1.52083250107323e-02dB,-3.81983694066725e-01°)
2.12813904598273e+03	(1.53491671399227e-02dB,-3.83753099610439e-01°)
2.13796208950225e+03	(1.54913147216758e-02dB,-3.85530759495781e-01°)
2.14783047413056e+03	(1.56347798772108e-02dB,-3.87316713040011e-01°)
2.15774440915269e+03	(1.57795748406963e-02dB,-3.89110999759080e-01°)
2.16770410481972e+03	(1.59257119602890e-02dB,-3.90913659368300e-01°)
2.17770977235318e+03	(1.60732036992255e-02dB,-3.92724731784168e-01°)
2.18776162394958e+03	(1.62220626368883e-02dB,-3.94544257124960e-01°)
2.19785987278485e+03	(1.63723014698893e-02dB,-3.96372275712243e-01°)
2.20800473301892e+03	(1.65239330131996e-02dB,-3.98208828072097e-01°)
2.21819641980024e+03	(1.66769702012185e-02dB,-4.00053954935952e-01°)
2.22843514927033e+03	(1.68314260889316e-02dB,-4.01907697242090e-01°)
2.23872113856836e+03	(1.69873138530220e-02dB,-4.03770096136922e-01°)
2.24905460583581e+03	(1.71446467930276e-02dB,-4.05641192976168e-01°)
2.25943577022100e+03	(1.73034383324819e-02dB,-4.07521029325854e-01°)
2.26986485188385e+03	(1.74637020200814e-02dB,-4.09409646963737e-01°)
2.28034207200044e+03	(1.76254515308809e-02dB,-4.11307087880851e-01°)
2.29086765276780e+03	(1.77887006674444e-02dB,-4.13213394282101e-01°)
2.30144181740853e+03	(1.79534633610774e-02dB,-4.15128608588131e-01°)
2.31206479017562e+03	(1.81197536730129e-02dB,-4.17052773436384e-01°)
2.32273679635713e+03	(1.82875857956676e-02dB,-4.18985931682582e-01°)
2.33345806228103e+03	(1.84569740538222e-02dB,-4.20928126401545e-01°)
2.34422881531995e+03	(1.86279329059016e-02dB,-4.22879400888944e-01°)
2.35504928389604e+03	(1.88004769452537e-02dB,-4.24839798662766e-01°)
2.36591969748579e+03	(1.89746209013526e-02dB,-4.26809363464143e-01°)
2.37684028662490e+03	(1.91503796411382e-02dB,-4.28788139258942e-01°)
2.38781128291321e+03	(1.93277681702903e-02dB,-4.30776170239423e-01°)
2.39883291901952e+03	(1.95068016345263e-02dB,-4.32773500825041e-01°)
