Freq.	V(n003)/V(n001)
1.00000000000000e+03	(-6.80694183253522e+01dB,1.79810806995821e+02°)
1.00461579027840e+03	(-6.79893869823959e+01dB,1.79810017053545e+02°)
1.00925288607668e+03	(-6.79093553492964e+01dB,1.79809223070044e+02°)
1.01391138573668e+03	(-6.78293234233672e+01dB,1.79808425028310e+02°)
1.01859138805412e+03	(-6.77492912018969e+01dB,1.79807622911249e+02°)
1.02329299228075e+03	(-6.76692586821487e+01dB,1.79806816701674e+02°)
1.02801629812647e+03	(-6.75892258613609e+01dB,1.79806006382312e+02°)
1.03276140576140e+03	(-6.75091927367457e+01dB,1.79805191935800e+02°)
1.03752841581801e+03	(-6.74291593054898e+01dB,1.79804373344684e+02°)
1.04231742939330e+03	(-6.73491255647538e+01dB,1.79803550591420e+02°)
1.04712854805090e+03	(-6.72690915116718e+01dB,1.79802723658374e+02°)
1.05196187382322e+03	(-6.71890571433515e+01dB,1.79801892527818e+02°)
1.05681750921366e+03	(-6.71090224568737e+01dB,1.79801057181936e+02°)
1.06169555719873e+03	(-6.70289874492922e+01dB,1.79800217602818e+02°)
1.06659612123026e+03	(-6.69489521176336e+01dB,1.79799373772461e+02°)
1.07151930523761e+03	(-6.68689164588966e+01dB,1.79798525672771e+02°)
1.07646521362984e+03	(-6.67888804700524e+01dB,1.79797673285559e+02°)
1.08143395129794e+03	(-6.67088441480440e+01dB,1.79796816592542e+02°)
1.08642562361707e+03	(-6.66288074897861e+01dB,1.79795955575345e+02°)
1.09144033644876e+03	(-6.65487704921647e+01dB,1.79795090215496e+02°)
1.09647819614319e+03	(-6.64687331520371e+01dB,1.79794220494429e+02°)
1.10153930954142e+03	(-6.63886954662313e+01dB,1.79793346393483e+02°)
1.10662378397767e+03	(-6.63086574315461e+01dB,1.79792467893901e+02°)
1.11173172728159e+03	(-6.62286190447503e+01dB,1.79791584976829e+02°)
1.11686324778056e+03	(-6.61485803025831e+01dB,1.79790697623316e+02°)
1.12201845430197e+03	(-6.60685412017533e+01dB,1.79789805814314e+02°)
1.12719745617551e+03	(-6.59885017389391e+01dB,1.79788909530679e+02°)
1.13240036323556e+03	(-6.59084619107881e+01dB,1.79788008753165e+02°)
