Freq.	V(n002)/V(n001)
Step Information: Run=1  (Step: 1/100)
1.57036280433356e+03	(-1.05896219377996e-04dB,-2.82918362831634e-01°)
1.57761126969936e+03	(-1.06877839724786e-04dB,-2.84226609091692e-01°)
1.58489319246112e+03	(-1.07868575934748e-04dB,-2.85540926734956e-01°)
1.59220872705118e+03	(-1.08868512966424e-04dB,-2.86861344242647e-01°)
1.59955802861468e+03	(-1.09877736583646e-04dB,-2.88187890234092e-01°)
1.60694125301289e+03	(-1.10896333352647e-04dB,-2.89520593467002e-01°)
1.61435855682650e+03	(-1.11924390655563e-04dB,-2.90859482838269e-01°)
1.62181009735894e+03	(-1.12961996685610e-04dB,-2.92204587385192e-01°)
1.62929603263973e+03	(-1.14009240474091e-04dB,-2.93555936285480e-01°)
1.63681652142782e+03	(-1.15066211884609e-04dB,-2.94913558858638e-01°)
1.64437172321494e+03	(-1.16133001632355e-04dB,-2.96277484566327e-01°)
1.65196179822903e+03	(-1.17209701272539e-04dB,-2.97647743013079e-01°)
1.65958690743757e+03	(-1.18296403229321e-04dB,-2.99024363947524e-01°)
1.66724721255107e+03	(-1.19393200791954e-04dB,-3.00407377262472e-01°)
1.67494287602645e+03	(-1.20500188131182e-04dB,-3.01796812996378e-01°)
1.68267406107048e+03	(-1.21617460298276e-04dB,-3.03192701333586e-01°)
1.69044093164328e+03	(-1.22745113238535e-04dB,-3.04595072605236e-01°)
1.69824365246176e+03	(-1.23883243805757e-04dB,-3.06003957290498e-01°)
1.70608238900314e+03	(-1.25031949756447e-04dB,-3.07419386016368e-01°)
1.71395730750844e+03	(-1.26191329771046e-04dB,-3.08841389559662e-01°)
1.72186857498602e+03	(-1.27361483462599e-04dB,-3.10269998846925e-01°)
1.72981635921511e+03	(-1.28542511369051e-04dB,-3.11705244955592e-01°)
1.73780082874939e+03	(-1.29734514986998e-04dB,-3.13147159114654e-01°)
1.74582215292052e+03	(-1.30937596768797e-04dB,-3.14595772705657e-01°)
1.75388050184177e+03	(-1.32151860121600e-04dB,-3.16051117263411e-01°)
1.76197604641164e+03	(-1.33377409428576e-04dB,-3.17513224476747e-01°)
1.77010895831743e+03	(-1.34614350069162e-04dB,-3.18982126189707e-01°)
1.77827941003894e+03	(-1.35862788393992e-04dB,-3.20457854401740e-01°)
1.78648757485206e+03	(-1.37122831774083e-04dB,-3.21940441268975e-01°)
1.79473362683254e+03	(-1.38394588582509e-04dB,-3.23429919105131e-01°)
1.80301774085958e+03	(-1.39678168217554e-04dB,-3.24926320382311e-01°)
1.81134009261962e+03	(-1.40973681104641e-04dB,-3.26429677731599e-01°)
1.81970085861000e+03	(-1.42281238716581e-04dB,-3.27940023944128e-01°)
1.82810021614276e+03	(-1.43600953567796e-04dB,-3.29457391971956e-01°)
1.83653834334836e+03	(-1.44932939244212e-04dB,-3.30981814929015e-01°)
1.84501541917949e+03	(-1.46277310397474e-04dB,-3.32513326091908e-01°)
1.85353162341483e+03	(-1.47634182762312e-04dB,-3.34051958900739e-01°)
1.86208713666288e+03	(-1.49003673164253e-04dB,-3.35597746959987e-01°)
1.87068214036582e+03	(-1.50385899534092e-04dB,-3.37150724039536e-01°)
1.87931681680328e+03	(-1.51780980909820e-04dB,-3.38710924075513e-01°)
1.88799134909631e+03	(-1.53189037459776e-04dB,-3.40278381171193e-01°)
1.89670592121116e+03	(-1.54610190485536e-04dB,-3.41853129598275e-01°)
1.90546071796326e+03	(-1.56044562427709e-04dB,-3.43435203796758e-01°)
1.91425592502110e+03	(-1.57492276895829e-04dB,-3.45024638377284e-01°)
1.92309172891018e+03	(-1.58953458655823e-04dB,-3.46621468121100e-01°)
1.93196831701694e+03	(-1.60428233658945e-04dB,-3.48225727981043e-01°)
1.94088587759280e+03	(-1.61916729046602e-04dB,-3.49837453083254e-01°)
1.94984459975806e+03	(-1.63419073155174e-04dB,-3.51456678727133e-01°)
1.95884467350601e+03	(-1.64935395543023e-04dB,-3.53083440386966e-01°)
1.96788628970686e+03	(-1.66465826993389e-04dB,-3.54717773712877e-01°)
1.97696964011188e+03	(-1.68010499519212e-04dB,-3.56359714531427e-01°)
1.98609491735739e+03	(-1.69569546389176e-04dB,-3.58009298846754e-01°)
1.99526231496890e+03	(-1.71143102129638e-04dB,-3.59666562841895e-01°)
2.00447202736518e+03	(-1.72731302541992e-04dB,-3.61331542879331e-01°)
2.01372424986241e+03	(-1.74334284709421e-04dB,-3.63004275502181e-01°)
2.02301917867829e+03	(-1.75952187019082e-04dB,-3.64684797435231e-01°)
2.03235701093624e+03	(-1.77585149165002e-04dB,-3.66373145585930e-01°)
2.04173794466955e+03	(-1.79233312164475e-04dB,-3.68069357045575e-01°)
2.05116217882559e+03	(-1.80896818370604e-04dB,-3.69773469089906e-01°)
2.06062991327002e+03	(-1.82575811488695e-04dB,-3.71485519180656e-01°)
2.07014134879106e+03	(-1.84270436581087e-04dB,-3.73205544966342e-01°)
2.07969668710372e+03	(-1.85980840089333e-04dB,-3.74933584283295e-01°)
2.08929613085406e+03	(-1.87707169841920e-04dB,-3.76669675156891e-01°)
2.09893988362355e+03	(-1.89449575068738e-04dB,-3.78413855802343e-01°)
2.10862814993331e+03	(-1.91208206417477e-04dB,-3.80166164626248e-01°)
2.11836113524852e+03	(-1.92983215966171e-04dB,-3.81926640227223e-01°)
2.12813904598273e+03	(-1.94774757231876e-04dB,-3.83695321397088e-01°)
2.13796208950225e+03	(-1.96582985187076e-04dB,-3.85472247122304e-01°)
2.14783047413056e+03	(-1.98408056292466e-04dB,-3.87257456584519e-01°)
2.15774440915269e+03	(-2.00250128470928e-04dB,-3.89050989162235e-01°)
2.16770410481972e+03	(-2.02109361160568e-04dB,-3.90852884431764e-01°)
2.17770977235318e+03	(-2.03985915314726e-04dB,-3.92663182168056e-01°)
2.18776162394958e+03	(-2.05879953408726e-04dB,-3.94481922346208e-01°)
2.19785987278485e+03	(-2.07791639466889e-04dB,-3.96309145142651e-01°)
2.20800473301892e+03	(-2.09721139074104e-04dB,-3.98144890935945e-01°)
2.21819641980024e+03	(-2.11668619387411e-04dB,-3.99989200308483e-01°)
2.22843514927033e+03	(-2.13634249158179e-04dB,-4.01842114046927e-01°)
2.23872113856836e+03	(-2.15618198740800e-04dB,-4.03703673144190e-01°)
2.24905460583581e+03	(-2.17620640110044e-04dB,-4.05573918800190e-01°)
2.25943577022100e+03	(-2.19641746885178e-04dB,-4.07452892423077e-01°)
2.26986485188385e+03	(-2.21681694324184e-04dB,-4.09340635630542e-01°)
2.28034207200044e+03	(-2.23740659371020e-04dB,-4.11237190251246e-01°)
2.29086765276780e+03	(-2.25818820647906e-04dB,-4.13142598325410e-01°)
2.30144181740853e+03	(-2.27916358478481e-04dB,-4.15056902106763e-01°)
2.31206479017562e+03	(-2.30033454905163e-04dB,-4.16980144063489e-01°)
2.32273679635713e+03	(-2.32170293711335e-04dB,-4.18912366879416e-01°)
2.33345806228103e+03	(-2.34327060432928e-04dB,-4.20853613455564e-01°)
2.34422881531995e+03	(-2.36503942364206e-04dB,-4.22803926911018e-01°)
2.35504928389604e+03	(-2.38701128607928e-04dB,-4.24763350584666e-01°)
2.36591969748579e+03	(-2.40918810051237e-04dB,-4.26731928036157e-01°)
2.37684028662490e+03	(-2.43157179420643e-04dB,-4.28709703047402e-01°)
2.38781128291321e+03	(-2.45416431269487e-04dB,-4.30696719623766e-01°)
2.39883291901952e+03	(-2.47696762023275e-04dB,-4.32693021995653e-01°)
2.40990542868662e+03	(-2.49998369974865e-04dB,-4.34698654619492e-01°)
2.42102904673621e+03	(-2.52321455315330e-04dB,-4.36713662179409e-01°)
2.43220400907384e+03	(-2.54666220154220e-04dB,-4.38738089588410e-01°)
2.44343055269400e+03	(-2.57032868533072e-04dB,-4.40771981989810e-01°)
2.45470891568506e+03	(-2.59421606439876e-04dB,-4.42815384758501e-01°)
2.46603933723437e+03	(-2.61832641839952e-04dB,-4.44868343502733e-01°)
2.47742205763332e+03	(-2.64266184694272e-04dB,-4.46930904065067e-01°)
2.48885731828242e+03	(-2.66722446962366e-04dB,-4.49003112524000e-01°)
2.50034536169646e+03	(-2.69201642641869e-04dB,-4.51085015195310e-01°)
2.51188643150961e+03	(-2.71703987782030e-04dB,-4.53176658633880e-01°)
2.52348077248061e+03	(-2.74229700504933e-04dB,-4.55278089634490e-01°)
2.53512863049794e+03	(-2.76779001013227e-04dB,-4.57389355233837e-01°)
2.54683025258507e+03	(-2.79352111638348e-04dB,-4.59510502711647e-01°)
2.55858588690568e+03	(-2.81949256831851e-04dB,-4.61641579592573e-01°)
2.57039578276890e+03	(-2.84570663206887e-04dB,-4.63782633647344e-01°)
2.58226019063463e+03	(-2.87216559547854e-04dB,-4.65933712894353e-01°)
2.59417936211885e+03	(-2.89887176840304e-04dB,-4.68094865601241e-01°)
2.60615354999893e+03	(-2.92582748286384e-04dB,-4.70266140286475e-01°)
2.61818300821902e+03	(-2.95303509337629e-04dB,-4.72447585720784e-01°)
2.63026799189542e+03	(-2.98049697696906e-04dB,-4.74639250928856e-01°)
2.64240875732198e+03	(-3.00821553359891e-04dB,-4.76841185190723e-01°)
2.65460556197557e+03	(-3.03619318635329e-04dB,-4.79053438043711e-01°)
2.66685866452151e+03	(-3.06443238156619e-04dB,-4.81276059283615e-01°)
2.67916832481907e+03	(-3.09293558913651e-04dB,-4.83509098966452e-01°)
2.69153480392695e+03	(-3.12170530283672e-04dB,-4.85752607410438e-01°)
2.70395836410888e+03	(-3.15074404036123e-04dB,-4.88006635197058e-01°)
2.71643926883912e+03	(-3.18005434374118e-04dB,-4.90271233173202e-01°)
2.72897778280808e+03	(-3.20963877945063e-04dB,-4.92546452452514e-01°)
2.74157417192792e+03	(-3.23949993884063e-04dB,-4.94832344417412e-01°)
2.75422870333820e+03	(-3.26964043812976e-04dB,-4.97128960720455e-01°)
2.76694164541155e+03	(-3.30006291883814e-04dB,-4.99436353286120e-01°)
2.77971326775933e+03	(-3.33077004805764e-04dB,-5.01754574312807e-01°)
2.79254384123738e+03	(-3.36176451855807e-04dB,-5.04083676274205e-01°)
2.80543363795175e+03	(-3.39304904918272e-04dB,-5.06423711921408e-01°)
2.81838293126449e+03	(-3.42462638502204e-04dB,-5.08774734284419e-01°)
2.83139199579942e+03	(-3.45649929778994e-04dB,-5.11136796673977e-01°)
2.84446110744796e+03	(-3.48867058589139e-04dB,-5.13509952683627e-01°)
2.85759054337499e+03	(-3.52114307496265e-04dB,-5.15894256191115e-01°)
2.87078058202473e+03	(-3.55391961790031e-04dB,-5.18289761360519e-01°)
2.88403150312665e+03	(-3.58700309523756e-04dB,-5.20696522644213e-01°)
2.89734358770136e+03	(-3.62039641552048e-04dB,-5.23114594784329e-01°)
2.91071711806665e+03	(-3.65410251537562e-04dB,-5.25544032814918e-01°)
2.92415237784338e+03	(-3.68812435997316e-04dB,-5.27984892063885e-01°)
2.93764965196157e+03	(-3.72246494323915e-04dB,-5.30437228154815e-01°)
2.95120922666643e+03	(-3.75712728818359e-04dB,-5.32901097008812e-01°)
2.96483138952439e+03	(-3.79211444714171e-04dB,-5.35376554846754e-01°)
2.97851642942923e+03	(-3.82742950210200e-04dB,-5.37863658190897e-01°)
2.99226463660823e+03	(-3.86307556502466e-04dB,-5.40362463867152e-01°)
3.00607630262828e+03	(-3.89905577815996e-04dB,-5.42873029006946e-01°)
3.01995172040206e+03	(-3.93537331427031e-04dB,-5.45395411049256e-01°)
3.03389118419432e+03	(-3.97203137702578e-04dB,-5.47929667742714e-01°)
3.04789498962803e+03	(-4.00903320129360e-04dB,-5.50475857147558e-01°)
3.06196343369072e+03	(-4.04638205341807e-04dB,-5.53034037637915e-01°)
3.07609681474075e+03	(-4.08408123164504e-04dB,-5.55604267903696e-01°)
3.09029543251364e+03	(-4.12213406628605e-04dB,-5.58186606952756e-01°)
3.10455958812840e+03	(-4.16054392025861e-04dB,-5.60781114112989e-01°)
3.11888958409398e+03	(-4.19931418914426e-04dB,-5.63387849034763e-01°)
3.13328572431563e+03	(-4.23844830181562e-04dB,-5.66006871692562e-01°)
3.14774831410136e+03	(-4.27794972057164e-04dB,-5.68638242387975e-01°)
3.16227766016843e+03	(-4.31782194155246e-04dB,-5.71282021750960e-01°)
3.17687407064982e+03	(-4.35806849513509e-04dB,-5.73938270742893e-01°)
3.19153785510081e+03	(-4.39869294615539e-04dB,-5.76607050658247e-01°)
3.20626932450552e+03	(-4.43969889437123e-04dB,-5.79288423127386e-01°)
3.22106879128348e+03	(-4.48108997480028e-04dB,-5.81982450118241e-01°)
3.23593656929633e+03	(-4.52286985808668e-04dB,-5.84689193939381e-01°)
3.25087297385440e+03	(-4.56504225079061e-04dB,-5.87408717241633e-01°)
3.26587832172341e+03	(-4.60761089591898e-04dB,-5.90141083020871e-01°)
3.28095293113124e+03	(-4.65057957313784e-04dB,-5.92886354620390e-01°)
3.29609712177463e+03	(-4.69395209917763e-04dB,-5.95644595733104e-01°)
3.31131121482596e+03	(-4.73773232836396e-04dB,-5.98415870404213e-01°)
3.32659553294010e+03	(-4.78192415284922e-04dB,-6.01200243033338e-01°)
3.34195040026120e+03	(-4.82653150303729e-04dB,-6.03997778377495e-01°)
3.35737614242960e+03	(-4.87155834800809e-04dB,-6.06808541553105e-01°)
3.37287308658874e+03	(-4.91700869591327e-04dB,-6.09632598038686e-01°)
3.38844156139208e+03	(-4.96288659441050e-04dB,-6.12470013677563e-01°)
3.40408189701006e+03	(-5.00919613099166e-04dB,-6.15320854680204e-01°)
3.41979442513714e+03	(-5.05594143347496e-04dB,-6.18185187627022e-01°)
3.43557947899880e+03	(-5.10312667037176e-04dB,-6.21063079470895e-01°)
3.45143739335862e+03	(-5.15075605135938e-04dB,-6.23954597539727e-01°)
3.46736850452537e+03	(-5.19883382774439e-04dB,-6.26859809539304e-01°)
3.48337315036018e+03	(-5.24736429269435e-04dB,-6.29778783555899e-01°)
3.49945167028363e+03	(-5.29635178198077e-04dB,-6.32711588058985e-01°)
3.51560440528304e+03	(-5.34580067414335e-04dB,-6.35658291904036e-01°)
3.53183169791963e+03	(-5.39571539118473e-04dB,-6.38618964335324e-01°)
3.54813389233581e+03	(-5.44610039879265e-04dB,-6.41593674988580e-01°)
3.56451133426250e+03	(-5.49696020701539e-04dB,-6.44582493894083e-01°)
3.58096437102642e+03	(-5.54829937049357e-04dB,-6.47585491479208e-01°)
3.59749335155748e+03	(-5.60012248918386e-04dB,-6.50602738571671e-01°)
3.61409862639619e+03	(-5.65243420863903e-04dB,-6.53634306402176e-01°)
3.63078054770108e+03	(-5.70523922060627e-04dB,-6.56680266607457e-01°)
3.64753946925614e+03	(-5.75854226342297e-04dB,-6.59740691233328e-01°)
3.66437574647840e+03	(-5.81234812258616e-04dB,-6.62815652737465e-01°)
3.68128973642538e+03	(-5.86666163127369e-04dB,-6.65905223992829e-01°)
3.69828179780273e+03	(-5.92148767067252e-04dB,-6.69009478290394e-01°)
3.71535229097179e+03	(-5.97683117070253e-04dB,-6.72128489342323e-01°)
3.73250157795727e+03	(-6.03269711047013e-04dB,-6.75262331285259e-01°)
3.74973002245490e+03	(-6.08909051868349e-04dB,-6.78411078683240e-01°)
3.76703798983916e+03	(-6.14601647428946e-04dB,-6.81574806531206e-01°)
3.78442584717100e+03	(-6.20348010704306e-04dB,-6.84753590257899e-01°)
3.80189396320568e+03	(-6.26148659789368e-04dB,-6.87947505729361e-01°)
3.81944270840053e+03	(-6.32004117968000e-04dB,-6.91156629252197e-01°)
3.83707245492286e+03	(-6.37914913765122e-04dB,-6.94381037576756e-01°)
3.85478357665779e+03	(-6.43881580992085e-04dB,-6.97620807900645e-01°)
3.87257644921624e+03	(-6.49904658821947e-04dB,-7.00876017872154e-01°)
3.89045144994288e+03	(-6.55984691829066e-04dB,-7.04146745593471e-01°)
3.90840895792409e+03	(-6.62122230064380e-04dB,-7.07433069624460e-01°)
3.92644935399607e+03	(-6.68317829090175e-04dB,-7.10735068985876e-01°)
3.94457302075286e+03	(-6.74572050067909e-04dB,-7.14052823163165e-01°)
3.96278034255447e+03	(-6.80885459798770e-04dB,-7.17386412109780e-01°)
3.98107170553505e+03	(-6.87258630790281e-04dB,-7.20735916251094e-01°)
3.99944749761105e+03	(-6.93692141318078e-04dB,-7.24101416487793e-01°)
4.01790810848947e+03	(-7.00186575489627e-04dB,-7.27482994199737e-01°)
4.03645392967613e+03	(-7.06742523308900e-04dB,-7.30880731249648e-01°)
4.05508535448391e+03	(-7.13360580728514e-04dB,-7.34294709986782e-01°)
4.07380277804120e+03	(-7.20041349729845e-04dB,-7.37725013250888e-01°)
4.09260659730019e+03	(-7.26785438388670e-04dB,-7.41171724376052e-01°)
4.11149721104530e+03	(-7.33593460918637e-04dB,-7.44634927194474e-01°)
4.13047501990169e+03	(-7.40466037763917e-04dB,-7.48114706040574e-01°)
4.14954042634371e+03	(-7.47403795657135e-04dB,-7.51611145754726e-01°)
4.16869383470343e+03	(-7.54407367689847e-04dB,-7.55124331687622e-01°)
4.18793565117926e+03	(-7.61477393377229e-04dB,-7.58654349704005e-01°)
4.20726628384452e+03	(-7.68614518730479e-04dB,-7.62201286186954e-01°)
4.22668614265611e+03	(-7.75819396335981e-04dB,-7.65765228042053e-01°)
4.24619563946321e+03	(-7.83092685416133e-04dB,-7.69346262701496e-01°)
4.26579518801601e+03	(-7.90435051907551e-04dB,-7.72944478128450e-01°)
4.28548520397448e+03	(-7.97847168532513e-04dB,-7.76559962821146e-01°)
4.30526610491719e+03	(-8.05329714884875e-04dB,-7.80192805817556e-01°)
4.32513831035017e+03	(-8.12883377486092e-04dB,-7.83843096699363e-01°)
4.34510224171580e+03	(-8.20508849876921e-04dB,-7.87510925596757e-01°)
4.36515832240174e+03	(-8.28206832693703e-04dB,-7.91196383192724e-01°)
4.38530697774994e+03	(-8.35978033738850e-04dB,-7.94899560727618e-01°)
4.40554863506562e+03	(-8.43823168070629e-04dB,-7.98620550003849e-01°)
4.42588372362635e+03	(-8.51742958074623e-04dB,-8.02359443390258e-01°)
4.44631267469118e+03	(-8.59738133554479e-04dB,-8.06116333827138e-01°)
4.46683592150972e+03	(-8.67809431802414e-04dB,-8.09891314830747e-01°)
4.48745389933141e+03	(-8.75957597699605e-04dB,-8.13684480498112e-01°)
4.50816704541469e+03	(-8.84183383779950e-04dB,-8.17495925512077e-01°)
4.52897579903630e+03	(-8.92487550336252e-04dB,-8.21325745145924e-01°)
4.54988060150058e+03	(-9.00870865495553e-04dB,-8.25174035268543e-01°)
4.57088189614884e+03	(-9.09334105311825e-04dB,-8.29040892349307e-01°)
4.59198012836878e+03	(-9.17878053845162e-04dB,-8.32926413463264e-01°)
4.61317574560389e+03	(-9.26503503269907e-04dB,-8.36830696296129e-01°)
4.63446919736298e+03	(-9.35211253949996e-04dB,-8.40753839149710e-01°)
4.65586093522969e+03	(-9.44002114537439e-04dB,-8.44695940946805e-01°)
4.67735141287208e+03	(-9.52876902067923e-04dB,-8.48657101236802e-01°)
4.69894108605225e+03	(-9.61836442057374e-04dB,-8.52637420200971e-01°)
4.72063041263600e+03	(-9.70881568585024e-04dB,-8.56636998657750e-01°)
4.74241985260254e+03	(-9.80013124406373e-04dB,-8.60655938068427e-01°)
4.76430986805426e+03	(-9.89231961050728e-04dB,-8.64694340542687e-01°)
4.78630092322648e+03	(-9.98538938908132e-04dB,-8.68752308843977e-01°)
4.80839348449739e+03	(-1.00793492734138e-03dB,-8.72829946395680e-01°)
4.83058802039783e+03	(-1.01742080479126e-03dB,-8.76927357286266e-01°)
4.85288500162131e+03	(-1.02699745886255e-03dB,-8.81044646275581e-01°)
4.87528490103397e+03	(-1.03666578645435e-03dB,-8.85181918800595e-01°)
4.89778819368457e+03	(-1.04642669385283e-03dB,-8.89339280981193e-01°)
4.92039535681461e+03	(-1.05628109683261e-03dB,-8.93516839626534e-01°)
4.94310686986846e+03	(-1.06622992077941e-03dB,-8.97714702240825e-01°)
