Freq.	V(n002)/V(n001)
1.00000000000000e+03	(-4.28985147440024e-05dB,-1.80070496306428e-01°)
1.00461579027840e+03	(-4.32957642672984e-05dB,-1.80902319514659e-01°)
1.00925288607668e+03	(-4.36966953479665e-05dB,-1.81737991369052e-01°)
1.01391138573668e+03	(-4.41013421528120e-05dB,-1.82577529760853e-01°)
1.01859138805412e+03	(-4.45097391794176e-05dB,-1.83420952666520e-01°)
1.02329299228075e+03	(-4.49219212387850e-05dB,-1.84268278146299e-01°)
1.02801629812647e+03	(-4.53379234688366e-05dB,-1.85119524346286e-01°)
1.03276140576140e+03	(-4.57577813334505e-05dB,-1.85974709498110e-01°)
1.03752841581801e+03	(-4.61815306321048e-05dB,-1.86833851919016e-01°)
1.04231742939330e+03	(-4.66092074902341e-05dB,-1.87696970013290e-01°)
1.04712854805090e+03	(-4.70408483698375e-05dB,-1.88564082271228e-01°)
1.05196187382322e+03	(-4.74764900800865e-05dB,-1.89435207271680e-01°)
1.05681750921366e+03	(-4.79161697667178e-05dB,-1.90310363679982e-01°)
1.06169555719873e+03	(-4.83599249255339e-05dB,-1.91189570250501e-01°)
1.06659612123026e+03	(-4.88077933995105e-05dB,-1.92072845825838e-01°)
1.07151930523761e+03	(-4.92598133826541e-05dB,-1.92960209337225e-01°)
1.07646521362984e+03	(-4.97160234267527e-05dB,-1.93851679806277e-01°)
1.08143395129794e+03	(-5.01764624442688e-05dB,-1.94747276343953e-01°)
1.08642562361707e+03	(-5.06411697064114e-05dB,-1.95647018151515e-01°)
1.09144033644876e+03	(-5.11101848595296e-05dB,-1.96550924521478e-01°)
1.09647819614319e+03	(-5.15835479038978e-05dB,-1.97459014836896e-01°)
1.10153930954142e+03	(-5.20612992293963e-05dB,-1.98371308573428e-01°)
1.10662378397767e+03	(-5.25434795894743e-05dB,-1.99287825298144e-01°)
1.11173172728159e+03	(-5.30301301281521e-05dB,-2.00208584671199e-01°)
1.11686324778056e+03	(-5.35212923636273e-05dB,-2.01133606445586e-01°)
1.12201845430197e+03	(-5.40170082065975e-05dB,-2.02062910467780e-01°)
1.12719745617551e+03	(-5.45173199564035e-05dB,-2.02996516678528e-01°)
1.13240036323556e+03	(-5.50222703106730e-05dB,-2.03934445113087e-01°)
1.13762728582343e+03	(-5.55319023604988e-05dB,-2.04876715901067e-01°)
1.14287833478977e+03	(-5.60462596020118e-05dB,-2.05823349268338e-01°)
1.14815362149688e+03	(-5.65653859344523e-05dB,-2.06774365536073e-01°)
1.15345325782109e+03	(-5.70893256688493e-05dB,-2.07729785122023e-01°)
1.15877735615513e+03	(-5.76181235299497e-05dB,-2.08689628540675e-01°)
1.16412602941049e+03	(-5.81518246571832e-05dB,-2.09653916404125e-01°)
1.16949939101987e+03	(-5.86904746152699e-05dB,-2.10622669421998e-01°)
1.17489755493953e+03	(-5.92341193893993e-05dB,-2.11595908402323e-01°)
1.18032063565173e+03	(-5.97828053939097e-05dB,-2.12573654251850e-01°)
1.18576874816716e+03	(-6.03365794828963e-05dB,-2.13555927977004e-01°)
1.19124200802738e+03	(-6.08954889434610e-05dB,-2.14542750683568e-01°)
1.19674053130725e+03	(-6.14595815014992e-05dB,-2.15534143577633e-01°)
1.20226443461742e+03	(-6.20289053313433e-05dB,-2.16530127966475e-01°)
1.20781383510678e+03	(-6.26035090576919e-05dB,-2.17530725258394e-01°)
1.21338885046498e+03	(-6.31834417594678e-05dB,-2.18535956963352e-01°)
1.21898959892487e+03	(-6.37687529688535e-05dB,-2.19545844694162e-01°)
1.22461619926505e+03	(-6.43594926886503e-05dB,-2.20560410165852e-01°)
1.23026877081238e+03	(-6.49557113826353e-05dB,-2.21579675197179e-01°)
1.23594743344451e+03	(-6.55574599880978e-05dB,-2.22603661710701e-01°)
1.24165230759241e+03	(-6.61647899168048e-05dB,-2.23632391733340e-01°)
1.24738351424295e+03	(-6.67777530636799e-05dB,-2.24665887397093e-01°)
1.25314117494142e+03	(-6.73964018077685e-05dB,-2.25704170939192e-01°)
1.25892541179417e+03	(-6.80207890122382e-05dB,-2.26747264702975e-01°)
1.26473634747116e+03	(-6.86509680407728e-05dB,-2.27795191138369e-01°)
1.27057410520855e+03	(-6.92869927517874e-05dB,-2.28847972802122e-01°)
1.27643880881135e+03	(-6.99289175119291e-05dB,-2.29905632359036e-01°)
1.28233058265603e+03	(-7.05767971873985e-05dB,-2.30968192581650e-01°)
1.28824955169314e+03	(-7.12306871661306e-05dB,-2.32035676351272e-01°)
1.29419584144999e+03	(-7.18906433510442e-05dB,-2.33108106658736e-01°)
1.30016957803330e+03	(-7.25567221648649e-05dB,-2.34185506604394e-01°)
1.30617088813185e+03	(-7.32289805607328e-05dB,-2.35267899399002e-01°)
1.31219989901921e+03	(-7.39074760222035e-05dB,-2.36355308364423e-01°)
1.31825673855641e+03	(-7.45922665767493e-05dB,-2.37447756933951e-01°)
1.32434153519467e+03	(-7.52834107812947e-05dB,-2.38545268652709e-01°)
1.33045441797810e+03	(-7.59809677550045e-05dB,-2.39647867178755e-01°)
1.33659551654645e+03	(-7.66849971609621e-05dB,-2.40755576283248e-01°)
1.34276496113787e+03	(-7.73955592235283e-05dB,-2.41868419851037e-01°)
