Freq.	V(n003)/V(n001)
1.20226443461742e+03	(-4.84521066724829e+01dB,8.97834655414103e+01°)
1.20781383510678e+03	(-4.84120613589628e+01dB,8.97824649241062e+01°)
1.21338885046498e+03	(-4.83720156259284e+01dB,8.97814596722962e+01°)
1.21898959892487e+03	(-4.83319694694934e+01dB,8.97804497643674e+01°)
1.22461619926505e+03	(-4.82919228857359e+01dB,8.97794351786042e+01°)
1.23026877081238e+03	(-4.82518758706973e+01dB,8.97784158931872e+01°)
1.23594743344451e+03	(-4.82118284203825e+01dB,8.97773918861937e+01°)
1.24165230759241e+03	(-4.81717805307592e+01dB,8.97763631355961e+01°)
1.24738351424295e+03	(-4.81317321977578e+01dB,8.97753296192621e+01°)
1.25314117494142e+03	(-4.80916834172709e+01dB,8.97742913149541e+01°)
1.25892541179417e+03	(-4.80516341851530e+01dB,8.97732482003281e+01°)
1.26473634747116e+03	(-4.80115844972202e+01dB,8.97722002529339e+01°)
1.27057410520855e+03	(-4.79715343492498e+01dB,8.97711474502140e+01°)
1.27643880881135e+03	(-4.79314837369799e+01dB,8.97700897695036e+01°)
1.28233058265603e+03	(-4.78914326561090e+01dB,8.97690271880295e+01°)
1.28824955169314e+03	(-4.78513811022958e+01dB,8.97679596829098e+01°)
1.29419584144999e+03	(-4.78113290711587e+01dB,8.97668872311534e+01°)
1.30016957803330e+03	(-4.77712765582755e+01dB,8.97658098096594e+01°)
1.30617088813185e+03	(-4.77312235591828e+01dB,8.97647273952165e+01°)
1.31219989901921e+03	(-4.76911700693760e+01dB,8.97636399645026e+01°)
1.31825673855641e+03	(-4.76511160843087e+01dB,8.97625474940838e+01°)
1.32434153519467e+03	(-4.76110615993922e+01dB,8.97614499604144e+01°)
1.33045441797810e+03	(-4.75710066099953e+01dB,8.97603473398359e+01°)
1.33659551654645e+03	(-4.75309511114438e+01dB,8.97592396085769e+01°)
1.34276496113787e+03	(-4.74908950990201e+01dB,8.97581267427518e+01°)
1.34896288259166e+03	(-4.74508385679630e+01dB,8.97570087183608e+01°)
1.35518941235104e+03	(-4.74107815134669e+01dB,8.97558855112892e+01°)
1.36144468246596e+03	(-4.73707239306817e+01dB,8.97547570973067e+01°)
1.36772882559585e+03	(-4.73306658147124e+01dB,8.97536234520668e+01°)
1.37404197501252e+03	(-4.72906071606185e+01dB,8.97524845511064e+01°)
1.38038426460289e+03	(-4.72505479634135e+01dB,8.97513403698450e+01°)
1.38675582887189e+03	(-4.72104882180650e+01dB,8.97501908835841e+01°)
1.39315680294531e+03	(-4.71704279194935e+01dB,8.97490360675067e+01°)
1.39958732257262e+03	(-4.71303670625726e+01dB,8.97478758966767e+01°)
1.40604752412992e+03	(-4.70903056421282e+01dB,8.97467103460381e+01°)
1.41253754462276e+03	(-4.70502436529383e+01dB,8.97455393904147e+01°)
1.41905752168910e+03	(-4.70101810897324e+01dB,8.97443630045091e+01°)
1.42560759360220e+03	(-4.69701179471910e+01dB,8.97431811629023e+01°)
1.43218789927355e+03	(-4.69300542199454e+01dB,8.97419938400531e+01°)
1.43879857825585e+03	(-4.68899899025768e+01dB,8.97408010102974e+01°)
1.44543977074593e+03	(-4.68499249896164e+01dB,8.97396026478475e+01°)
1.45211161758775e+03	(-4.68098594755444e+01dB,8.97383987267916e+01°)
1.45881426027536e+03	(-4.67697933547900e+01dB,8.97371892210931e+01°)
1.46554784095592e+03	(-4.67297266217304e+01dB,8.97359741045897e+01°)
1.47231250243273e+03	(-4.66896592706908e+01dB,8.97347533509932e+01°)
1.47910838816822e+03	(-4.66495912959437e+01dB,8.97335269338886e+01°)
1.48593564228701e+03	(-4.66095226917084e+01dB,8.97322948267333e+01°)
1.49279440957900e+03	(-4.65694534521506e+01dB,8.97310570028568e+01°)
1.49968483550238e+03	(-4.65293835713817e+01dB,8.97298134354597e+01°)
1.50660706618675e+03	(-4.64893130434585e+01dB,8.97285640976132e+01°)
1.51356124843622e+03	(-4.64492418623826e+01dB,8.97273089622582e+01°)
1.52054752973250e+03	(-4.64091700220999e+01dB,8.97260480022050e+01°)
1.52756605823808e+03	(-4.63690975165003e+01dB,8.97247811901324e+01°)
1.53461698279930e+03	(-4.63290243394166e+01dB,8.97235084985869e+01°)
1.54170045294957e+03	(-4.62889504846245e+01dB,8.97222298999820e+01°)
1.54881661891249e+03	(-4.62488759458419e+01dB,8.97209453665980e+01°)
1.55596563160508e+03	(-4.62088007167285e+01dB,8.97196548705804e+01°)
1.56314764264096e+03	(-4.61687247908849e+01dB,8.97183583839402e+01°)
1.57036280433356e+03	(-4.61286481618524e+01dB,8.97170558785523e+01°)
1.57761126969936e+03	(-4.60885708231122e+01dB,8.97157473261555e+01°)
1.58489319246112e+03	(-4.60484927680850e+01dB,8.97144326983511e+01°)
1.59220872705118e+03	(-4.60084139901306e+01dB,8.97131119666028e+01°)
1.59955802861468e+03	(-4.59683344825467e+01dB,8.97117851022356e+01°)
1.60694125301289e+03	(-4.59282542385692e+01dB,8.97104520764351e+01°)
1.61435855682650e+03	(-4.58881732513707e+01dB,8.97091128602469e+01°)
1.62181009735894e+03	(-4.58480915140609e+01dB,8.97077674245757e+01°)
1.62929603263973e+03	(-4.58080090196851e+01dB,8.97064157401847e+01°)
1.63681652142782e+03	(-4.57679257612241e+01dB,8.97050577776946e+01°)
1.64437172321494e+03	(-4.57278417315935e+01dB,8.97036935075832e+01°)
1.65196179822903e+03	(-4.56877569236431e+01dB,8.97023229001843e+01°)
1.65958690743757e+03	(-4.56476713301562e+01dB,8.97009459256872e+01°)
1.66724721255107e+03	(-4.56075849438492e+01dB,8.96995625541355e+01°)
1.67494287602645e+03	(-4.55674977573707e+01dB,8.96981727554270e+01°)
1.68267406107048e+03	(-4.55274097633009e+01dB,8.96967764993123e+01°)
1.69044093164328e+03	(-4.54873209541512e+01dB,8.96953737553941e+01°)
1.69824365246176e+03	(-4.54472313223634e+01dB,8.96939644931269e+01°)
1.70608238900314e+03	(-4.54071408603090e+01dB,8.96925486818155e+01°)
1.71395730750844e+03	(-4.53670495602886e+01dB,8.96911262906147e+01°)
1.72186857498602e+03	(-4.53269574145314e+01dB,8.96896972885283e+01°)
1.72981635921511e+03	(-4.52868644151941e+01dB,8.96882616444083e+01°)
1.73780082874939e+03	(-4.52467705543607e+01dB,8.96868193269539e+01°)
1.74582215292052e+03	(-4.52066758240416e+01dB,8.96853703047112e+01°)
1.75388050184177e+03	(-4.51665802161728e+01dB,8.96839145460717e+01°)
1.76197604641164e+03	(-4.51264837226155e+01dB,8.96824520192720e+01°)
1.77010895831743e+03	(-4.50863863351552e+01dB,8.96809826923924e+01°)
1.77827941003894e+03	(-4.50462880455009e+01dB,8.96795065333568e+01°)
1.78648757485206e+03	(-4.50061888452848e+01dB,8.96780235099311e+01°)
1.79473362683254e+03	(-4.49660887260609e+01dB,8.96765335897228e+01°)
1.80301774085958e+03	(-4.49259876793051e+01dB,8.96750367401799e+01°)
1.81134009261962e+03	(-4.48858856964136e+01dB,8.96735329285903e+01°)
1.81970085861000e+03	(-4.48457827687030e+01dB,8.96720221220805e+01°)
1.82810021614276e+03	(-4.48056788874090e+01dB,8.96705042876150e+01°)
1.83653834334836e+03	(-4.47655740436856e+01dB,8.96689793919956e+01°)
1.84501541917949e+03	(-4.47254682286048e+01dB,8.96674474018599e+01°)
