Freq.	V(n002)/V(n001)
Step Information: Run=1  (Step: 1/100)
2.07969668710372e+03	(-2.06740531919485e-04dB,-3.95305224466807e-01°)
2.08929613085406e+03	(-2.08661142533002e-04dB,-3.97137149235996e-01°)
2.09893988362355e+03	(-2.10599667250316e-04dB,-3.98977631312849e-01°)
2.10862814993331e+03	(-2.12556274500585e-04dB,-4.00826711614909e-01°)
2.11836113524852e+03	(-2.14531134316945e-04dB,-4.02684431268331e-01°)
2.12813904598273e+03	(-2.16524418360629e-04dB,-4.04550831609212e-01°)
2.13796208950225e+03	(-2.18536299930612e-04dB,-4.06425954184936e-01°)
2.14783047413056e+03	(-2.20566953980976e-04dB,-4.08309840755468e-01°)
2.15774440915269e+03	(-2.22616557138274e-04dB,-4.10202533294500e-01°)
2.16770410481972e+03	(-2.24685287721790e-04dB,-4.12104073990789e-01°)
2.17770977235318e+03	(-2.26773325756074e-04dB,-4.14014505249496e-01°)
2.18776162394958e+03	(-2.28880852982531e-04dB,-4.15933869693251e-01°)
2.19785987278485e+03	(-2.31008052890276e-04dB,-4.17862210163988e-01°)
2.20800473301892e+03	(-2.33155110721933e-04dB,-4.19799569723674e-01°)
2.21819641980024e+03	(-2.35322213490034e-04dB,-4.21745991656023e-01°)
2.22843514927033e+03	(-2.37509550005953e-04dB,-4.23701519467682e-01°)
2.23872113856836e+03	(-2.39717310884740e-04dB,-4.25666196889721e-01°)
2.24905460583581e+03	(-2.41945688575017e-04dB,-4.27640067878779e-01°)
2.25943577022100e+03	(-2.44194877363810e-04dB,-4.29623176618702e-01°)
2.26986485188385e+03	(-2.46465073409343e-04dB,-4.31615567521658e-01°)
2.28034207200044e+03	(-2.48756474743940e-04dB,-4.33617285229963e-01°)
2.29086765276780e+03	(-2.51069281309710e-04dB,-4.35628374616965e-01°)
2.30144181740853e+03	(-2.53403694959522e-04dB,-4.37648880788717e-01°)
2.31206479017562e+03	(-2.55759919492691e-04dB,-4.39678849085513e-01°)
2.32273679635713e+03	(-2.58138160664632e-04dB,-4.41718325083333e-01°)
