x-axis,1,2
second,Volt,Volt
-250.0000E-06,-3.6804015E-03,+20.1005023E-03
-249.7500E-06,-19.7608033E-03,+20.6030149E-03
-249.5000E-06,-27.8010042E-03,+22.1105525E-03
-249.2500E-06,-45.8914563E-03,+20.1005023E-03
-249.0000E-06,-59.9618079E-03,+20.1005023E-03
-248.7500E-06,-76.0422098E-03,+18.5929646E-03
-248.5000E-06,-100.1628125E-03,+18.0904521E-03
-248.2500E-06,-108.2030134E-03,+18.0904521E-03
-248.0000E-06,-116.2432143E-03,+18.0904521E-03
-247.7500E-06,-146.3939678E-03,+18.0904521E-03
-247.5000E-06,-152.4241185E-03,+18.0904521E-03
-247.2500E-06,-166.4944701E-03,+18.0904521E-03
-247.0000E-06,-180.5648217E-03,+16.0804018E-03
-246.7500E-06,-196.6452235E-03,+15.5778893E-03
-246.5000E-06,-216.7457258E-03,+14.0703516E-03
-246.2500E-06,-228.8060272E-03,+12.0603014E-03
-246.0000E-06,-244.8864290E-03,+12.0603014E-03
-245.7500E-06,-260.9668309E-03,+12.0603014E-03
-245.5000E-06,-269.0070318E-03,+10.0502511E-03
-245.2500E-06,-293.1276346E-03,+10.0502511E-03
-245.0000E-06,-301.1678355E-03,+12.0603014E-03
-244.7500E-06,-317.2482373E-03,+8.0402009E-03
-244.5000E-06,-333.3286392E-03,+6.0301507E-03
-244.2500E-06,-355.4391917E-03,+7.0351758E-03
-244.0000E-06,-365.4894428E-03,+2.0100502E-03
-243.7500E-06,-381.5698447E-03,+5.0251256E-03
-243.5000E-06,-389.6100456E-03,+1.0050251E-03
-243.2500E-06,-411.7205981E-03,+1.5075377E-03
-243.0000E-06,-429.8110502E-03,+0.0E+00
-242.7500E-06,-437.8512511E-03,+502.5126E-06
-242.5000E-06,-453.9316529E-03,-2.0100502E-03
-242.2500E-06,-468.0020045E-03,-6.0301507E-03
-242.0000E-06,-478.0522557E-03,-4.0201005E-03
-241.7500E-06,-500.1628082E-03,-7.5376884E-03
-241.5000E-06,-506.1929589E-03,-9.0452260E-03
-241.2500E-06,-492.1226073E-03,-10.0502511E-03
-241.0000E-06,-478.0522557E-03,-8.0402009E-03
-240.7500E-06,-459.9618036E-03,-10.0502511E-03
-240.5000E-06,-437.8512511E-03,-12.0603014E-03
-240.2500E-06,-429.8110502E-03,-14.0703516E-03
-240.0000E-06,-405.6904474E-03,-10.0502511E-03
-239.7500E-06,-391.6200958E-03,-14.0703516E-03
-239.5000E-06,-377.5497442E-03,-16.0804018E-03
-239.2500E-06,-371.5195935E-03,-16.5829144E-03
